text,sentiment
alhamdulillah berkat aplikasi ubah faskes mandiir,neutral
bagus layan,positive
bagus mudah bgt,positive
apk yg baik,positive
bantu pendapataran dg mudah,positive
bagus,positive
coba dlu,neutral
daftar aja susah ampun,negative
pakai aplikasi tp gilir daftar nohp tdk trdaftar dibpjs sehat,neutral
erorr urgen logut masukin kode captcha eror ganti password terkedala captcha komplain kelas aplikasi yg urgensi,neutral
log out sih malam error,negative
applikasi bantu manfaat jaman era digital,neutral
mending gak pake apk susah banget logout pas masuk pasword salah mulu dah benernunggu otp aja sampe apakabar obat halangin apk gak mutu kek gin please bayar dapet fasilitas kayak gin sayang duit banget benerin aja bikin apk trus ngerugiin orang,negative
aman nyaman pakai mudah an terus nya yaa,positive
pindah faskes ngga,neutral
susah daftar verivikasi wajah gagal,negative
dimna sehat ubah total anjlok layan jkn nya bukti layan pindah lokasi faskes lokasi yg nya nya pindah lokasi lucu nya lg lokasi faskes yg nama maju teknologi gilir coba pindah jatuh tempo ujung nya lg gaess alias error aplikasi nya trus klo obat iya hrs lokasi,negative
verifikasi wajah ribet,neutral
aplikasi sulit masyarakat log out login gimana inisedikit update update kasi yg sakit,negative
layan periksa sehat tentu obat layan ramah tama jalan program perintah daerah trimakasih,neutral
aplikasi nyebelin banget login layar hitam kedip kaya hp rusak,negative
daftar priksa online gakbisa nyuruh daftar aplikasi telpon cs jawabanya gak bantu suruh langsung rumahsakit langsung digitalisasi digital gakusah suruh cek jaring nomer hp kalo yg user aplikasi dibenerin wey,neutral
mudah dgn bpjs mobil jkn,positive
bantu kalk,neutral
gk bisanunggu otp gk kirim,neutral
sih urus sulit bgt nya,negative
ok banget pokok,neutral
otp aja kalah apk ilegal,neutral
semenjak update apk mobile jkn pindah faskes gabisa buka fiturfiturnya kira offline udah pake wifi data loading antre gak munculmuncul jaring tolong baik,positive
aplikasi bagus pakai mobile jkn aplikasi ribet gk jls sy pikir cm sy aj trnyta sy bc ulas jg mohon baik aplikasiny dimudahkn utk pakai mobile jkn,positive
good jkn,neutral
bantu,neutral
mudh,neutral
akses aplikasi jkn,neutral
kode otp oyyyy pagi ampek siang kode otp ngk kirim nyalahin ngk jaring jaring nya udh kenceng bener bikin kesel,neutral
login sulit habis update otomatis logout kirim otp sms aja kagak mulu benerbener aplikasi sampah,negative
oksemoga layan,neutral
verivikasinya susah,negative
baik cari info,positive
good job thanks marlina adile bantu recomded,neutral
mudah daftar,positive
aplikasi kochak capek banget nungguin kode verifikasi sms udah jam gua duduk nungguin tolong bikin sistem kondisi kek gin ngerepotin doang,neutral
layan bpjs sehat ternate,neutral
bantu langgan layan sehat,neutral
ga bissa log in masuk,neutral
oke moga kecewa guna,neutral
saran jkn mobile depan menu jkn mobile pasien tu liat hasil rontgen pasien lupa bawa hasil rontgen rs,neutral
udah daftar tp pas masuk data sesuai dukcapil udah bener sesuai ktp kk,neutral
,neutral
akun log out jarang pakai kalo org umur jarang paham sistem login ulang aplikasi negara cacat,neutral
aplikasi manfaat gampang ubah data serta alamat faskes pilih kantor,neutral
nii aplikasi gak buka skli buka hitam,neutral
mudah sulit daftar apk aja gk payahhh,neutral
buka slalu gagal coba lagipdhal jaring bagus ganti sandi konfirmasi sms gagal,negative
mudah daftar,positive
aneh,negative
ubah data online ribet mantap,positive
gagal masuk jkn mobile nik pasword capta yg mudah daftar cek up dokter,neutral
paksa banget pake apk,neutral
jam malem sinyal enak gabisa,neutral
aplikasi gak niat kritik,neutral
membantusimple,neutral
plis deh gimana mw nambahin bintang pakai surugmh ferifikasi suruh ganti kode dah x ganti pasword ga login apssnya tolong jgn sulit dikit apdet jan,negative
bantu nama guna akun,neutral
aplikasi nya sebentarsebentar masuk sandi pas d klik sandi salah tolong,neutral
login susah banget dah ribu kali tulis nya yg muncul kode chavca bener muncul tulis nik paswoord yg salah ktk nik yg bener muncul tulis chavca yg salah hrs gmn lg nya nyeraaaah,negative
aplikasi perintah harap susah eror,negative
tolong update bug nya lag banget aplikasi,neutral
daftar gak bisabisa kode otp kirim no hp pas,neutral
allhamdulilah,neutral
kayak kena virus layar hitam kalo sentuh putih,neutral
gimana ya sy gak daftar coba beda tetep gak daftar sy cetak kartu kis sy hilang butuh coba daftar bpjs sehat gak hapal nomor kis nya,neutral
orang obat aplikasi muter tolool darurat keburu mati gara aplikasi tolool sulit orang obat,negative
sulit masuk internet full bug apk support baik,neutral
mohon arah sya update aplikasi mobile jkn tdk notice aplikasi kompatibel dgn perangkat sya oppo a terimakasih,neutral
udah daftar online gilir scan barcode aplikasi buka jaring stabil,neutral
mudah oleh layan sehat,positive
susah verifikasi wa ga kirim ribet niat napa bikin aplikasi korup aja isi,negative
ya sempurna,neutral
bantu mudah layan sehat,positive
kacau nunggu kode otp sekali dapet salah mulu,neutral
apk layan publik support versi android android bawah,neutral
bikin aplikasi bikin mudah bikin ribet,positive
aplikasi update,neutral
akun buka jkn bulan aja akun masuk ulang pakai no bpjs,neutral
bagus udah daftar antre hilang gak ss,positive
tmbh parah udh sempt pke log in biometrik gak bs log in tombol log in gk bsa sentuh tlonglah baik kesalhn apk sngt bgi,neutral
minimal versi android brp bs install bantu mlh nyusahin ga orang pakai hp baru,neutral
kode otp verivikasi kaga masuk smsgimana sih apk,neutral
mantap aplikasi tingkat lag mudah penggunaannyai,positive
layan cepat respon,positive
stuck pas verifikasi sms nya,neutral
layan informasi ramah,neutral
daftar x cek daftar ga nyaman banget tolong benerin,positive
log in kayak nyari jarum tumpu jerami susah polllllllll,negative
bantu ubah data cepattidak rmh,neutral
parah ni aplikasi trsjadi login ulang ulang kadang masuk data ga,negative
moga layan ramah mudah admin lai laksana abdi masyarakat moga sukses,positive
mobile jkn ya kemarin log in ga trus kedip doang,neutral
mudah,positive
,neutral
pusla cukupjaringan normalmau tambahin nomer hp tetep ga bisamohon baik segerakami butuh kasi habis operasi kontrol ga dapet nomer krn verifikasi nomer telpon wajah gagal,neutral
buka astaghfirullah log out masuk ganti apa sandi dllmau daftar arah daftar tp ndk masukparah benerrr yg alami,neutral
aplikasi jkn bantu proses ubah data daftar obat program bpjsterima kasih,neutral
jkn ok,neutral
tolong bantu aja yg tau bpjs pbi jamin sehat jd aktif dipake jelas aktiftidak tanggung aktif gimana error aktif,negative
bobrok aplikasi jkn indonesia masalah terus layan kecewa korupsi besar aplikasi bobrok layan masyahrakat baik aplikasi jkn kalo gak aplikasi kerja yg sakit yg butuh bukti riwayat obat bukti usaha lampir potong gaji hk aplikasi bantu susah,negative
aplikasi bantu mudah penggunasemoga depan optimal,positive
aplikasi lot,neutral
mudah salam anak dayak bakumpai,positive
anjay mobile jkn,neutral
gak masuk udah gak masuk,neutral
provider smartfren verifikasi kode otp lupa sandi ya,neutral
buka aplikasi login orientasi suka ubah tolong perintah anggar aplikasi korupsi kerja serius,positive
pegawai bpjs on time banget ya,neutral
mudah layan sehat,positive
gak pindah faskes,neutral
jkn tolol offline,neutral
bagus bantu,positive
erortiba suruh masuk ud luama gak masuk aneh,negative
mudah obat ganti faskes,positive
oksemoga,neutral
alhamdulillah terima manfaat bpjs sehat bantu,neutral
harap apk perintah verifikasi susah gilir jarang buka log out pas login susah efisien aja verifikasi wajah aja tolak gimana daftar faskes verifikasi wajah aja susah apk broken,negative
daftar susah aplikasi,negative
login sebentar kadang log out tolong baik guna nyamantrimakash,positive
blm erti daftar mobile jkn,neutral
mantap,positive
knp aplikasi gk buka kode chapca nya muter aja tolong tim it nya venerin rugi bnyak org eror sebentar aja,neutral
rubah no rujuk,neutral
login aktif auto debit tagih bayar,neutral
aplikasi error melulu,negative
terimakasih bantu obat,neutral
masuk aja ribet ngalah ngalahin bank,neutral
daftar online periksa ga teruskatanya ga hubung server rs nyaini gimana sih,neutral
ubah data email aja ribet g,neutral
mobil jkn guna,neutral
sayang daftar puskesmas sllu sruh masuk daftar akun kali mohon perhati yg aplikasi bgni bkin ribet daftar sesuai tunjuk ulang ulang,neutral
bantu pake ponsel layan sehat cepat tampa antri klinik,positive
tolong proses lupa sandi gak proses,neutral
aplikasi yg sulit guna nomor kode otp yg susah dapat susah log in hambat obat,negative
apk pake gak sih,neutral
pokok nya pribadi bantu dgn aplikasi,neutral
mudah cepat akses layan sehat terimakasih aplikasi mobile jkn,positive
moga manfaat mesti,neutral
aplikasi bobrok capcha tdak muncul,neutral
aplikasi buka layar putih resah,neutral
sih upgrade buka gampang akses belibet salah nik salah password,neutral
apps gk tu hp sya runyam,neutral
membantuu,neutral
aplikasi bpjs sgt bantu bsa cek kendala administrasi riwayat kontrol informasi faskes dekat fiturnya lengkap bantu sibuk,neutral
moga mudah,positive
bantu cepat,positive
daftar pol kulit,neutral
bagus,positive
masukin no hp aja gak terang no hp serta no hp pribadi parah,negative
layan rs al ihsan muas sulit daftar online nunggunya skitar bulan tambah dokter kali yaa,negative
apk nya bagus ges,positive
aplikasi mudah guna manfaat,positive
ribet nyusahin sumpah langsung pake aplikasi aja,neutral
bgt log out pake password salah udah ubah password salah log in aplikasi gimana sih ya allah,neutral
mobile jkn gak buka padhl upgrade hp instal ulang tetep gak bukapadahal kontrol,neutral
senang aplikasi mobile jkn,neutral
bangke ga masuk alas nya perangkat masuk nik ktp bantu saudara cek bpjs nya blokir,neutral
apliaksinya mudah udah obat jalan ranap,positive
apa mobile jkn daftar antri online gagal salah format respon ektp hadeh didownload aplikasi,negative
aplikasi bodoh kirim kode otp masuk sms no nik no telpon sdah,neutral
aplikasi daptar ulang nik pasword daftar ulang sudh daftar ktanya aplikasi sulit sya obat sya tidk jdi obat akibat alikasi mobile jkn susah,negative
luarbiasa layan,neutral
sulit lupa sandi,negative
update gk login eror,neutral
ribet trouble sinyal lancar surat rujuk sulit antre jkn,negative
bintang bicara,neutral
kode verifikasi tdak kirimgimana orang jengkel nunggu,neutral
aplikasi nya gak banget udah daftar ilang daftar ulang lah,neutral
mudah akses,positive
verifikasi wajah gagal repot banget udah aktifin biometrik pas login susah input password banget logout coba tolong baik aplikasi,negative
pake wifi kuota baca offline gimna,neutral
tejebo,neutral
tambah pesertadata no kk sesuai anggap data kosong daftar akun login karena no hp akun tambah pesert sulit daftar serta no hpjadi gagal login ribet banget system,negative
aplikasi koplak aplikasi peak verifikasi nomor hp gak kode otp gak tutup aja tutup aplikasi susah warga,negative
aplokasi suka donlot pasang,positive
aplikasi rusak nih parah,negative
knp ga bs masuk minbiasanya jg bs masukwalau udah log out sendiritp masuk ga bsperangkat yg du rootapa sih maksud,neutral
layan cepat muas terima kasih nya,positive
aplikasi bantu praktis mudah mana kapqn,positive
login aja nungguin capcha ga keluar,neutral
bagusss,neutral
bermamfaat trimakasih,neutral
pas ganti faskes musti poto wajah ribet bnget ga pas enak pas,neutral
pokok bantu,neutral
bantu,neutral
mantap apk mobile jkn,positive
sesuai harap,neutral
jossss,neutral
aplikasi nyusahin periksa mata gara gara ga daftar pake jkn akhirat batal sue,neutral
cek status bpjs aktiftidak tpi daftar aja gabisa udah coba berkalikali tp ttp gabisa pas selesai verif wajah,neutral
guna mudah urus sehat,positive
bagus enakeun,positive
pas login captcha ga loguot,neutral
aplikasi tdk masukin data sudahx ampun,neutral
susah anj apk log out kode krim apk gak,negative
mntap simple rubah paskesnya,neutral
apk banget busett sulit banget masyarakat nge rekam wajah ga benerr udah tempat terang duh penting,negative
mudah layan,positive
gimana sih keluh guna verifikasi nomer telepon aja susah niat ga sih aplikasi dana perintah kembang aplikasi korupsi,negative
apasih aplikasi kali buka aplikasi muncul periksa koneksi internet internet full kuotatrus coba pakai hotspot aja ga buka ntah coba,neutral
terimakasih jkn,neutral
login gak pdahl nik bnar pasword jg bnar knp susah sekli login aja,negative
minnn plisss mudah yahh proses masuk apk jkn nya,positive
aplikasi jelekkk banget ambil antri ga udah masuk aplikasi aja ga gua kalo ganiat bikin aplikasi mah ga susah doang,negative
manfaat mudah akses nya,positive
bagus layan nya muas terima kasih,positive
woi data ko d pake pandawa nama status ngaco,neutral
terimakasih bantu rakyat indonesia,neutral
gak kirim kode verifikasi ga nunggu pagi,neutral
hubung server rs coba kali kali,neutral
alhamdulillah bantu aplikasi jkn mobile pindah faskes semogaa orang yg campur tangan aplikasi sehat sehat selaluu amin,neutral
ribet bgt anak bayi daftar aja pake verifikasi wajah,neutral
susah banget anjayyyyy verifikasi muka susah gagal mulu kirain cuman gw doang gataunya hadeuhhhhh,negative
bikin ribett susah aja obat bener gapenting make bginian bikin ribettt gajelasss,negative
sulit masuk daftar privikasi gagal,negative
sy chek in sy antar beliau rs sy chek in radius km dr rs mohon longgar batas radius nya akses mana lansia kendala tdk bs android,neutral
kode otp sms kirim kirim ampe lebaran monyet,neutral
aplikasix sgt bagus,positive
pakai daftar fakes sehat tingkat gak,neutral
sip puas,positive
respon cepat dr cs call center d web bpjs wkt ubah nmr hp pindah kota aplikasi jg lelet,neutral
aplikasi buruk aneh perintah kerja orang yg jalan tugasmau masuk aplikasi sj susahsetiap masuk ktp kayak pinjol aja,negative
cepat mantap,positive
aplikasi lancar cepat,positive
kelas aplikasi perintah gin jelek banget njirr gw daftar kode otp nya gak kirim mulu no hp udah bener sulit banget gila pantesan indonesia gak maju maju bikin aplikasi aja gak aplikasi mudah rakyat hobi banget rakyat repot,negative
terimakasih mohon tingkat,neutral
selasa tgl oktober login daftar antre daftar login perangkat ndakada kode captcha muter mulu kayak ndakada sinyal sinyal full coba hotspot loading mulu captcha nya udah apk update install ulang aja captcha nya muter muluu capek pake jkn mobile,neutral
keren simple aplikasi nya mudah,positive
bantu kadang sulit masuk nya tingkat layan baik serta,neutral
lancar jaya aplikasi no macet,neutral
aplikasi ganggu kah masuk nik password capctha capctha salah truss pdahl bener,neutral
jkn kren mudah,positive
aplikasi sih erarr erorr mulu,neutral
upgrademinta solusi,positive
loding aja minggu periksa ga gara gara aplikasi ga buka,neutral
serba online daftar ngga sih minta proses silah coba mohon maaf ketidaknyamanan udh jam an,neutral
canggihtapi gagal aplikasi,negative
maafaplikasi log out lupa password nya,neutral
awesome,neutral
aplikasi minus lambat mulek sistem ga repot guna,negative
aplikasi nya bantu sekalimantap lach,neutral
tolong baik aplikasi susah akses admin akses baik rakyat sulit daftar periksa mobile jkn aplikasi aja gak akses,neutral
aplikasi gampang aman kirim sms aja isi pulsa masyarakat faham mohon sosialisasi orang bantu terimakasih,neutral
jelekkode verifikasi nomer telepon nya gak kirimkirim udah coba kali,neutral
apk error notifikasi koneksi internet buruk udah pake wifi paket data internet lancar,negative
bpjs gimana sih obat paskes sesuai domisili ga orang kerja daerah nya bpjs kaga berpugnsi mah benerin kaya aja,neutral
kelik tambah prserta,neutral
kode otp gak masuk keren apknya,neutral
aplikasi manfaat zonk login kali password salah coba ganti via sms nggak nomer aktid lhoo,neutral
kali senin trouble tolong sistem baik,positive
gerd parah tolak rs alas tercover bpjs,negative
daftar online ruku sulit aplikasi bodoh indonesia rumit mentang pakai bpjs mending langsung pasien,negative
apk gatel daftar kemarin gak,neutral
gabisa screenshot kaya alhasil kalo keluarga mintol daftarin obat gabisa kasih bukti udh daftar kerja ortu yg gaptek ga ngerti login apk nya lot ganti pin login notifnya trs bulan aja bjir segabut inget pin nya yg ganti hrs login mikir ga sih kesitu update apk mudah sulit hidup gaush nunggu viral medsos dlu,neutral
update dn update masuk ulang kembli,neutral
bagus banget,positive
aplikasi gk fungsi pakai login ulang sandi gak pakai ketik lupa sandi verifikasi sms kode masuk email susah daftar online cek sehat,negative
bintang bicara,neutral
masuk suruh login capek sih apl kecewa,negative
ok banget aplikasi,neutral
tibakeluar pas login nik salah sandi salah salah mohon bantu nya,neutral
bantu,neutral
aplikasi bagus bantu,positive
buruk ganggu terang internet kuota buka youtube lancar browsing dll lancar,negative
gk buka apk jkn buka masuk sulit no nik pasword nya udah gagal trus buka apknya gimana sandi udh masukin email gk,negative
aplikasi nyusahin aja kirim kode otp aja lambat,negative
ubah data yg praktis n mudah paham,positive
ga sendirisurat rujuk ilang,neutral
login password spasi pas daftar bikin password spasi pas login gak spasi riset passwordnya gak tulis nomor hp daftar email,neutral
mudah verifikasi,positive
baik ga sih sistem nya klo ga niat bikin aplikasi gausaahhhh aplikasi taiiiii,positive
susah ribet,negative
baru nambah g bener aplikasi kalo pindah faskes sulit,negative
ga d buka eror trus,neutral
kode otp kali abad gk nongol,neutral
kali rubah data serta alhamdulillah langsung ga pake ribet bismillah moga keluarga sehat bpjs aman perintah biaya,neutral
miris lupa sandi riset sandi no telpon email tukar riset bisa sistem bilang salah angka yg pakai pdhal nomor nyaaa gimna si aplikasi nya sulit doang,negative
terimakasih bpjs kab tanggung bagus ramah layan,positive
cepat ubah data ga,positive
pelayananya,neutral
bantu terkadang aplikasi kadang maintenance sambung internet gagal paket internet wifi lancar jaya terkadang masuk aplikasi login ulang,negative
aplikasi nga mutu ribetttt ruwettr gmn kembang klu buat aplikasi nga baik sistem,positive
aplikasi mudah bangetnyoba pindah faskes eh gampang terima kasih,positive
antre online gak tetep aja rumah sakit antri sesuai rumah sakit antre online gak banget lokasi bondowoso jawa timur,neutral
bagus bgt pindah faskes daknperly kantor,positive
aplikasi perintah payah updateutk akun terima verifikasinyaterlalu korup,negative
aplikasi nya bagus mudah mndaftar antri bpjs onlen,positive
ko veripikasi wajah ga kelar,neutral
oke bangetttt,positive
masuk ubah sandi sulit ampun,negative
daftar susah,negative
aplikasi bantu,neutral
hp bekas gatau dah root skrg buka jkn,neutral
nais,neutral
kode otp ga masuk masuk,neutral
aplikasi nya gmpng dgnakan mudah antri pngbatan,positive
rusak pijengkeleun,negative
moga manfaat yg bener ny,neutral
verifikasi parubahan lupa pasword ganggu minggu kemarin tolong baik daftar kontrol rs wajib jkn trmksh,positive
mudah aplikasi alhamdulillah obat gratis,positive
alhamdulilah lancar terima baikterima kasih,neutral
bbrpa login masukin password lagiudh masukin password nik eh gagal plisss mudah bikin ribetpengguna orng tua yg g exsklusif yg muda,neutral
be better,neutral
ga banget udah bener masukin nik blg salah trs jdi sampe skrg blm masuk,neutral
nggk mobile jkn kdang nggk buka repot rakyat bawah,negative
aplikasi keren banget bantu,neutral
kalo habis baik jaring aja logout akun nya login gabisa server offline mulu tolong benerin servernya orang obat ambil antri online susah,neutral
mantap,positive
tolong verifikasi no handphone kirim pesan aplikasi whatsapp nunggu sms kagak munculmuncul,neutral
kerja jkn bagus,positive
daftar klinik bad request astaga,neutral
bpjs iur telat kena sangsi rehap,neutral
cepat layan nya,positive
aplikasi sih inimalah sulit masyarakat yg obat daftar susah mati,negative
down lgsg nya,neutral
bantu periksa sehat keluarga,neutral
kode otp nomor masuk,neutral
bagus guna banget fitur tunjuk yg awam paham teknologi,positive
ga ya jkn maintanance malam aja gt ambil nomer antri dr sore gabisa gimana astagaaaaaaa pusingggg,neutral
daftar tp pas foto biometrik blur layar kamera rusak udh coba berkalikali kamera hp bagus apk ga tp wajib menginstal,neutral
gak akses dg,neutral
app bagus n bantu jelek appx app coba masuk layar kedip spt lcd rusak muncul minta proses mohon maaf ketidaknyamanan,negative
bagus cepat,positive
buruk benah,negative
