Review Text,sentimen,Rating
prosedur pindah faskesnya bagus buruk salah input nunggu saran salah input ganti tanggal minimal konfirmasi data terang data nama orang faskes a ganti faskes b gak bolak ngisi cek kurang resiko salah input,negative,2
bantu serta milik kartu bpjs sehat,positive,5
aplikasi g login captcha ga muncul nyusahin banget,negative,1
ganti versi kacau pilih dokter periksa ambil antre dokteritupun jam yg siang sore kembali,negative,2
aplikasi lumayan fast respon ubah faskes layan pandawa yg pakai surat domisili ubah data serta bpjs cepat ubah jam hasil moga depan lebh canggih layan alur nya,positive,5
sih trouble trussss guna bgt tolong baik yah,negative,1
apk sdh baru susah log inpadahal no hp email terdaftarjawabannya no hp email daftar hubung call center wa pandawa,negative,4
syukur aplikasi mudah akses rujuk ubah data,positive,5
aplikasi bagus bantu sehat,positive,5
ok mantap mudah update pindah faskes,positive,5
mantap mudah,positive,5
tolong kembali versi screenshot,neutral,1
kasih menu copas nomor serta download langsung kartu serta kirim email coz butuh urgent butuh cepat prinsip dasar teknologi mudah manusia sulit butuh login kala aplikasi x login butuh aplikasi hubung sehat sifat seringkali urgent butuh nya sakit msih pusing pikir pswd dll,negative,2
ubah data tdk ribet,neutral,5
registrasi gak,negative,1
mudah guna mobile jkn,positive,5
good,positive,5
cm ganti no hp nambah serta aja ribet,negative,1
ngga daftar obat,negative,1
mudah daftar,positive,5
aplikasi taik cuman tau ngehabisin pulza aja hasil nol,negative,5
kalo aplikasi program perintah error dongo it nya,negative,1
aplikasi ngelag ga buka pas buka layar hp langsung warna hitam,negative,1
susah login ga nerima otp gimana developer nya,negative,1
apk dancok,negative,1
gak ubah nomor telpon daftar rujuk,negative,2
verifikasi wajah coba ratus kali gagal terang jaring oke aja gagal,negative,2
apk yg hrus nya mudah sulit masuk apk sllu pendftaran dlu kadang uda masuk kode captcha nya muncul,negative,1
mantap cepat akurat,positive,5
terimakasih mobile jkn,positive,5
mudah efisien guna,positive,5
okee bantu tingkat,positive,5
terima kasih digunaoan hambat,neutral,5
daftar aja sulit verifikasi muka aja gak canggih kalah app driver online,negative,1
bantu,positive,5
boking susah,negative,1
masuk nik pasword nya,neutral,1
menpermudah daftar,neutral,5
mudah bantu moga mudah guna jkn,positive,5
screenshot mudah ortu melek teknologi,neutral,1
kutu kupret menu aktif tdk status nonaktif krn premi premi dah dibyar tdk menu mengaktifkanya,positive,1
oke lho,positive,5
aplikasi pandawa jkn lambat rubah no hp proses tolong baik layan nya,negative,2
bagus aplikasi ribet,positive,5
mantaaap,positive,5
masuk masuk nik ribet,neutral,1
layan gmpng mudah aplikadi,positive,5
versi yg bikin ga screenshoot pd bgt gimna klo daftarin akun orang tua yg hp ortunya bkn android tolong balikin atur update hrusnya bqn mudah nya bqn lbh sulit iah aman tp gak org ngakses daftar bayangin anak ngurusin orang tua nya bpak nya mertua nya yg blm melek android hp akun daftar blm lg paswrd nya ga salah tolong kaji ulang,negative,1
manfaat,positive,5
bantu ubah dataatau urus kait bpjs sehat,positive,5
susah akses,neutral,1
ga niat bikin aplikasisekian ga baik,negative,1
kecewa guna bpjs kode otp lambat masuk pulsa nya hbis sedot hbis pulsa kiriimim kode tolong baik lg sistem aplikasi aplikasi nya minus bintang udah ku aplikasi,negative,1
parah kesinimasalah koneksi,neutral,1
logout login nik salah,neutral,1
aplikasi bagus bgt akhir ga bikin atrean device nya penuh trs log in terus udh x hri karna log in ttrs pas udh log in kagak bikin atreannn minnn tolongin gigi sakittt,negative,4
udah antre puskesmas ga buka gimana tolong jelas disaana nomor antre jam tinggal orang layan dokter,negative,1
aplikasi bagus manfaat,positive,5
mudah layan sehat,positive,5
alhamdulillah bantu,positive,5
ga buka,neutral,1
keren baik layan nya tlp aplikasi sekian menit putus bantu smoga,positive,5
terimakasih alhamdulillah,positive,5
bantu informatif,positive,4
lbih mudah urus admistrasi,positive,5
bantu,positive,5
daftar akun susah bgt modal pulsa ganti wa aja sih dah ga jaman sms,negative,1
mudah dlm login,positive,5
mudah,positive,5
aplikasi yg mudah pasien,positive,5
apasih bpjs ni sulit aplikasi sulit buka akun aja login antri ambil aplikasi aplikasi nya kelola orang sakit yg sengsara aja gak mikirin orang yg darurat gimana kacauuuu,negative,1
baguss,positive,5
aplikasi kocak logout susah,negative,1
ibu kali coba masuk ikut tunjuk masuk jkn,positive,1
bantu,positive,5
gak koneksi aplikasi klinik lacasino makassar tulis antre jam pasien sore dokter gigi sdh pulang tdk layan sekian trims,negative,1
keren lampung jaya informasi d mudah trmksh bpj gubernur lampung jaya,positive,5
susah dpt nomer antri nomer antri,neutral,1
kode verifikasi lu gmn si aplikasi gblook,negative,1
kamera nya buruk,negative,2
pindah faskes gk akses,negative,1
mantap aplikasi mudah,positive,5
knapa log out login pasword gk masuk sdh catat passwordnya,negative,1
samngat bantu,positive,5
aplikasi gak mintak verifikasi lupa password akun gak kalo buang aja ni aplikasi gk,negative,1
seblumnya maaf daftar akun jkn pas buka aplikasi nik udh daftar akun emailnomer hp pas ubah data susah karna asliudh gitu akun email nama gimana ubah pusing ihh,negative,1
kode otp aja gak kelar hadehh aplikasi perintah gak bener,negative,1
aplikasi nimau login aja ga dasar,negative,1
allhamdulilah aplikasi bantu banget cek bpjs pinter pinter daftar guys,positive,5
sulit ganti email email hack bingun lapor siapa gmail skli layan tolong jkn ganti email susah,negative,2
bagus bantu,positive,5
nik login batas ribet amatpadahal biaya aplikasi serta yg biaya,neutral,1
mudah operasi,positive,5
daftar faskes surat rujuk aktif,neutral,2
aplikasi lot yg paket data lancar wifi lancar bayar biaya non aktif,negative,1
admin anak yg sdh daftar mobile jkn tanggung kerja sekitar bekas bpjs sehat anak tarik masuk usaha mobile jkn sdh anak anak sdh tempat kembali mobile jkn pakai menu tambah serta info yg bhw anak sdh data milik bpjs sehat mohon tunjuk,positive,5
samgat mudah d akses manfaat aplikasi moga cepat,positive,5
ganti nomer aja susah tgl smpe ga ganti aplikasi nya gabisa dipake sih,negative,1
buruk buka log in terusperbaiki apk nya kasihan orang tua yg pake jarang ngerti ribet banget yg,negative,1
tolong lengkap butuh aplikasi aktif bpjs aktif,neutral,1
alhamdulillah cepet akurat smoga tetep aktif bpjs ku,positive,5
mudah aplikasi mobile bantu,positive,4
kendala verifikasi verifikasi ulang kali aplikasi mudah susah,negative,1
koneksi,neutral,1
mm bantu,positive,5
terima kasih bpjs,positive,4
apps jarang buka login out buka masuk passwordnik,neutral,1
pasien anak verifikasi wajah sulit hari verifikasi,neutral,1
baru gak masuk aplikasi kak pdhl butuh puskesmas karna puskesmas daftar online nya pake jkn tolong kak baik,negative,1
ribet daftar,negative,1
butut verifikasi wajah benerin aplikasi inovasi ganti faskes gara verif wajar yg butut,negative,1
apk bodh,neutral,1
tolong diperbaikiini log in susah bgtgmn update klu jkn aja kya gin masuk,neutral,3
login nggak bisa alas perangkat pakai akun nama kk akun anggota keluarga orang hp log in akun akun mohon baik orang butuh bpjs obat salah nik login repot suruh hubung kerja rakyat sulit,negative,1
mudah menggunakanya ge antri kantornyaterimakasih mobile jkn,positive,5
faskes yg layan sehat igi,positive,5
udah daftar suruh daftar bagus ni jknbikin susah orang ajaaplikasi bodong,negative,1
layan hari,neutral,1
captcha code nya gak muncul cok,negative,1
mantap grak cepat,positive,5
suruh daftar trus daftargak login,neutral,1
pindah perintah mandi akun ku autodebit tp pilih finpay gagal gmn udh kantor bpjs ya tetep kontrol spesialis,neutral,3
aplikasi jkn membantuterimakasih,positive,5
betul aplikasi kirim verifikasi nohp lamaaa masuk bnyk ulas permasalahanya baik baharu yg laku,negative,1
kode otp nomor masuk,negative,1
saran aplikasi guna bpjs kalang penyitas netra harap dukung mode gelap mudah,positive,4
bantu aplikasi jkn mobile trima kasih bpjs,positive,5
alhamdulillah bantu mudah apk rubah alamat rubah mudah,positive,5
puas yaman,positive,5
cepat mudah akses,positive,5
nik nyata salah asseu,negative,1
tolong kalo baru update aplikasi jgn daftar susah ribet,negative,4
mudah ubah faskes bantu orang,positive,5
lancar utk faskes mohon informasi pemberitahuan ubah,positive,5
mudah,positive,5
login lupa sandi reset kode otp sms masuk kode otp sms kah,negative,1
mudah praktis,positive,5
aplikasi susah verifikasi parah,negative,1
assalamuaalaikum wrwbalhamdulillah moga sukses bpjs jknsemoga jaya tolong saat keluarga kerja baik sakitdisaat butuh hadir tingkat kerja fasilitas nya mudah langsung sat setterimakasih,positive,5
layan muas,positive,5
ok dah,positive,5
lupa bayar langsung status serta nonaktif kejam langsung bayar status serta msh nonaktif tunggu sistem tingkat baik proses nya cepat tunggu,negative,1
gj segitunya uang daftar off bpjs online susah emg mental kismin gabisa ubah kasih sempat sempit mah ngirim kode otp kaya uang thr presiden ae,negative,1
ngak masuk pasu nik aplikasi masuk lupa sandi tolong baik mind,neutral,5
aplikasi lola alias loading bulan ter logout yg ngerti pasword mending kalo yg uda nenek nenek gimana nyusahin nakes klinik bae banyak update,negative,1
daftar aja susah g jd,negative,1
aplikasi la daftar offline suruh aplikasi aplikasi nya gajelas,negative,1
ko ngubah faskes susah ya skrang konfirmasi wajah banget gk bisa,negative,3
busuk ni apk ngirim kode verifikasi nomer udah bener ga kode tolong baik sistem nya,negative,1
nomer antri obat gk screenshotpadahal obat online butuh bukti nomer antri screenshottolong baik,negative,5
bantu bayar pribadi tdk bayar perintah moga layan bagus,positive,5
mohon daftar online periksa klinik mitra medika kaliwungu kendal jangka nya panjang pasien prepare available coba tingkat minggu efektif efesien susah tentu schedule kerja nomor antri penuh tibatiba error terima kasih,negative,3
mntap simple rubah paskesnya,positive,5
gimana yah tibatiba data keluarga kepala keluargaistri anak hilang sisa cuman data anak,neutral,3
aplikasi asal butuh bikin susah bayar ya gratis,negative,1
aplikasi bagus,positive,5
alhamdulillah mudah,positive,5
aplikasi nya eror,negative,1
proses nya cepat layan nya nyaman,positive,4
verifikasi kode otp pake sms ga kode nya udah mah nunggu detik kalo mending pake whatsapp sms,negative,1
sumpah aplikasi buruk layan lambat harap playstore hapus aplkasi guna,negative,1
aplikasi jkn sayabila buka masuk daftar noktp sandi salah melulu sistem buka obat,negative,2
mudah ecek nomerketersediaan ruang rs,positive,4
mudah aplikasi moga manfaat masyarakat butuh,positive,5
mudah,positive,5
puas aplikasi,positive,5
aja cek status bayar nggak pencet menu nggak muncul pemberitahuan minta proses offline jaring nonton youtube lancar pulak akses aplikasi nggak lihat pandawa aja udah ketik nik tanggal lahir yg jelas udah nggak tanggap cakap udah ulang kali mastiin emang nggak,negative,1
aplikasi bantu masyarakat yabg,positive,5
cancel antre nomer antre error mulual hasil gabisa daftar ulanghadehhh,negative,1
blm login aplikasi ada solusi,neutral,1
apk gajelasgada kode frifikasi krim login no nya aktif,negative,2
maaf kenapaa kesini susah akses mobile jkn dimasukin data bisaa mohon instruksi sinyal full,negative,4
ribet bnget otp kudu pake pulsa dasar aplikasi perintah abal abal,negative,1
aplikasi kompetebel,negative,1
app gk kalo operasi bagus bantu daftar sulit perihal kode verifikasi,negative,1
keren mudah,positive,5
masuk aplikasi logout daftar repot disarankandari faskes kantor jamsostek sita wkt tenaga efisien mending tdk baharu,negative,1
didownload gak,negative,1
aplikasi kadang error,neutral,4
kpla jknbpjs tolong jgn sulit rujuk adik yg kena dm rumit oper krumhsakit yg tdk kmi brobattolong mudah rujuk adik tetap rumhsakit santamaria pekanbaru krna adik dipindahdioper krumhsakit rumhsakit sprti tangan santamariatolong mudah ya kepala jknbpjs adik kontrol mudahdan tolng aplikasi jgn eror,positive,2
lelet apk yg andal full kecewa,negative,1
mudah kerja,positive,5
ok hasil verivikasi,positive,5
kesini gak masuk pake autodebit gilir daftarin gak hasil app sulit gak,negative,1
terbetter,neutral,5
kode otp gamuncul udah ditungguin jam,negative,1
bagus sih mudah seringkali masuk aplikasi logout suruh masukin nik password ulang kali tolong developer fix bug nya,negative,1
keluar masuk masuk kasi orangtua ga ngerti ngirim nya otp lelet captcha nya tolong jelas kalo pw nik nya salah tolong kasih tau salah satu aja tolong baru cepat,negative,1
dukung keluarga,positive,5
log out mulu knapa kali baik tolongg app d update d update d gunain app jkn makasih nanggepin komentar,negative,4
makan yg,positive,5
gk verifikasi akunpadahal nomer aktif daftar pake nomer,neutral,1
bantu mudah akses bpjs online,positive,5
bantu utk proses jamin jkn,positive,5
bantu bituhkan,positive,5
gak muak aplikasi log out melulu gatau kesini nyebelin coba min benerin fungsi ni aplikasi mudah sulit,negative,1
bagus banget ngebantu,positive,5
muas diupdate log in,positive,3
okeymantaaaaap,neutral,5
bagus mudah,positive,5
aplikasi nya lumayan bagusbisa liat rujukansangat bantu keluarga,positive,5
aplikasi error salah login aja udah gabisa,negative,1
jempol,neutral,5
alhamdulillah barakallah bantu aplikasi,positive,5
kali senin trouble tolong sistem baik,negative,4
bagus aplikasi jkn,positive,5
asik log out aja aplikasi,negative,3
aplikasi bobrok riweh pol dipake,negative,1
baik jknmobilesekelas perintah blm bikin aplikasi yg bagustlp cs stlh pulsa ludes gk hasilgmna minsya log halam doangmau daftar faskes lanjut gk masuk terang jaring bermasalahpadahal buka aplikasi lamcarmau pake paket data wifi sajasolisi min,negative,1
bpjs sehat bnyk bantu ringan sy dlam msa obat,positive,5
this work,neutral,5
jalan lancar thanks mudah,positive,5
isi riwayat bikin emosi bulak mohon baik,neutral,1
alhamdulillah udah verifikasi,positive,5
mudah layan antri,positive,5
bpjs tolong rakyat yg butuh,negative,5
terima kasih sdh mudah ubah data layan nya memuaskantidak kantor bpjs rubah lwt aplikasikeren,positive,5
apk ngak pagi sampe sore ngak kode,negative,1
fitur verifikasi nya bingung,neutral,1
susah login kode otp gak kirim paket data beli gbtolong bantuanya gimana log,negative,1
susah banget sih buka nya,neutral,5
tolong baik aplikasi kasihan yg kontrol rs,negative,1
busyeng dah apk ga,negative,1
aplikasi muas anak istri masuk kepala keluarga,negative,5
aplikasi anehmau pindah askes nya lihat askes udah berkalikali gk buka asik muter aja,negative,1
ko verivikasi no telpon,neutral,2
sip,positive,5
lumayan bagus aplikasi,positive,5
apk gajelas udah ngirim otp bgt smpe ganti nomor x tetp gabisa nuat bkin apk gasih,negative,1
allhamdulilah bantu aplikasi mobile jkn,positive,5
gampang mudah laksana ubah data bpjs,positive,5
pokok mantep,positive,4
sdh byr iur bbulanan tp wa dri jkn ktnya blm bayar iruan sdngkan diapliksi tagih krna sdh byarkan asli wa dri jkn ya,negative,5
busuk kayak birokrasi nya,negative,1
rubah faskes sehat yg deket rumah coba kali verifikasi identifikasi wajah tulis mohon maaf minta proses maaf tidak nyaman haha sampe kali gak hasil rubah alamat alamat surat ubah tp alamat tampil kartu alamat yg hmmmm solusi,negative,1
pas mntb,neutral,5
tolong verifikasi kode cepat moga depa aplikasi jkn mobile baru masyarakat mudah akses aplikasi,positive,1
aplikasi stabil login susah ngecek,negative,1
,neutral,5
oke,positive,5
praktis engga buka aplkasinya yah cek tagih engga,positive,4
cepat tanggap,positive,5
gimana aplikasi periksa faskes surat rujuk gak muncul aplikasi nya aplikasi ko gak mudah guna eror,negative,1
bantu aplikasi mobile jkn,positive,5
jelek errordan acount,negative,1
aplikasi nya offline ribet periksa aja susah,negative,1
udah booking jkn udah dpt nomer pas puskemas ulang nomer tetep antri jam guna daftar jkn kalo antri nomer puskesmas,negative,4
tolong donk apk mobile jkn nya daftar apk gak autodebit karna resah masyarakat nya masyarakat pilih bayar manual autodebit daftar autodebit yg serta mandiri bpjs nya bayar loh gak gratis nya apk nya mudah sulit,negative,1
mudah akses cepat tagan,positive,5
knpa tdk bsa login mkin sulit sja sma aplikasi,negative,1
bagussangat bantu,positive,5
verifikasi via nomer hp pulsa,neutral,4
alhamdulilah mudah ubah data,positive,5
aplikasi jkn udah gitu masukin nik udah bilang nomor nik salah ampun dah aplikasi,negative,1
bagus,positive,5
aplikasi konyol,negative,1
mudah bantu pribadi masyarakat,positive,5
update kaga login,negative,1
sh ni apk udh log in log out susah masuk lg udh bener nomor kode bilang salah tolong donk kemarin udh mh daftar serta ngk bisa logout pusing bgt jalur bpjs,negative,3
mudah proses obat,positive,5
jkn nya bagus,positive,5
sehat slalu,positive,1
bagus gampang,positive,5
bantu layan online nya,positive,5
aplikasi nya kadang ngeblang gak buka,neutral,1
godjob mobile jkn,positive,5
mmbantu skali,positive,5
,neutral,5
gimana sih kode verifikasi lupa pasword sms ko engga,negative,1
apk josss,positive,5
mudah pakai aplikasi,positive,5
captcha error nyusahin rakyat gk sih kaya gin,negative,1
captcha gak,negative,1
alhamdulillah gampang anti ribet anti,positive,5
mudah terimakasih,positive,5
mudah urus sehat,positive,5
update logout login susah bangetmana captcha nya loading mulu coba uninstall trus install,negative,3
apk g bermutulog out terusmasuk salah niklupa pswrd no hp bedajelas nmr hp sy yg daftarin ga bener,negative,1
susah login kode otp nya gk muncul,negative,1
min masak banget sih izin trus knp aplikasi yg hp jg jgnlah min privasi org,neutral,3
aplikasi bagus,positive,5
mudah daftar rs tuju,positive,5
mudah data serta efisien,positive,5
aplikasi tdk bs daftar otp gak nongol jg,negative,1
terima kasih jkn aplikasi jkn mudah atas,positive,5
manfaat terimakasih,positive,5
aplikasi bagus bantu,positive,5
payah kode otp via sms gk muncul via wa gk sedia udah daftar suruh daftar nik salah udah bener tolong donk jgn bikin emosi jgn sulit baik aplikasi biar mudah guna,negative,3
layan klinik faske muas aplikasi jkn dlm pelayqnan yg lancar,positive,5
bagus jangkau,neutral,5
aplikasi ga eror,negative,1
gk ambil nomer antri online tombol antrianya surat rujuk,negative,1
akun logout otomatis susah bolak login pakai kadang lupa bolak rs tolong rubah,neutral,1
login captcha loading sinyal aman,negative,1
aplikasi lemotttt error buka buang buang anggar negara,negative,1
ganggu,neutral,2
simpan data ambil antre muncul pilih tuju batal klik tuju muncul aplikasi update login nik daftar deteksi salah salin ketik jugabuat biometrik aktif login terkadang akun otomatis situ biometriknya daftar daftar,negative,1
ndaftar antri tinggal sebentar ngga ganti sandi kali mohon tangan mudah guna terima kasih,positive,1
apk ga jaring wifi bagus data oke ttp ga,negative,1
moga aja,positive,5
registrasi i saku susah bgt tolong baik,negative,2
lot baik aplikasix,negative,1
mudah akses rumah sakit butuh,positive,5
parah error tinggal daftar susah,negative,1
super sulit aktivasinya,negative,1
info riwayat layan ko isi obat yg kasih nilai,positive,3
apk susah masuk,negative,1
sulit bangettttt,negative,1
bantu pasien masyarakat komitmen jaga konsisten dlm layan sesuai hak wajib rakyat,positive,5
daftar verifikasi gagal terang gagal foto bayar bpjs pas pakai kendala mobile jkn nya aplikasi tolol,negative,1
layan cepat mudah rumah sja proses,positive,5
loh out login gagal trus dsitu prlu ambil antri kontrol dsitu pulak gagal trus nyusahkan aja,negative,1
susahh dikit dikit login ulang udh brrpkalicoba gamauu,neutral,1
info sehat mudah,positive,5
bantu proses layan jkn muda cepat,positive,5
mudah akses daftar nya mudah,positive,5
kadang suka log out overall good,positive,4
ubah data online ribet mantap,positive,5
daftar online gagal suruh coba,negative,1
aplikasi dahsusah banget loginmau daftar aja susahkok bilang jaring koneksipadahal kuota,negative,1
kendala nya aja log out masuk nya susah bacaanya daftar gilir udah isi data sesuai nama dn tanggal lahir sesuai ktp ga gajelas,neutral,1
fasilitas jkn perlu mri,positive,5
cari info riwayat layan serta gak nemu menu,positive,1
mantap ubah data,positive,5
gercep,positive,5
ribet,negative,4
bagus mudah aplikasi,positive,5
mantap aja,positive,4
puas layan nya mudah,positive,5
d update gk screenshotini yg hak pakai fasilitas keluargatrus ngasih bukti daftar keluarga bagaimna klo gk screenshot mah mohon timbang deh,neutral,4
sya aplikasi bikin ribet cekup rs ajh peke aplkasi gimna orang gaptek nenek bwa kartu ajh udh culup pmborosan beli aplikasi sanggat guna,negative,1
apk nya,negative,5
tibatiba daftar antre ya salah,neutral,3
sukses mobile jkn,positive,5
daftar antri aja susah,negative,1
ken daftar nomer antri aja ribet banget kali kasih nomer otp bikin gagal otp udah bener astaghfirullah bikin darting kumat,negative,1
lambat kode verifikasi,negative,1
lot aplikasi nya ndaftar pol bedah mulut susah banget udah bulan ga dapet nomer antri nya tulis nya minta blm proses,neutral,1
mantappppppppp,neutral,5
cerdas layan sehat cepat tuntas jkn,positive,5
okee bngt obat jd gampang gak ribet,positive,5
ga login parah parah,negative,1
lbh mudah tdk antre lamalama,positive,5
tunggu hari kode otp tetep gak masuk masuk pandahal butuh banget tolong baik aplikasi,negative,1
aplikasi error kadang daftar gk servernya error,negative,2
alhamdulillah bagussangat bantu,positive,5
fungsi ok jalan lancar operasi nya gk kasih transisi yg lebay pilih fungsi yg tumpuk tumpuk pusing liat udah kek olshop kalo flash sale warna warni tabrak mana gk orang hp nya kenceng yg ngandalin nyala aja ya inti rapih aja tata letak home nya gk kasih dekorasi berat beratin algoritma kerja aplikasi,negative,3
verivikasi gagal,neutral,1
susah verivikasi wajah menit nyoba ga hasil,neutral,1
aplikasi perintah lot e nauzubilah eror,negative,1
trouble error bikin susah pasien daftar online hilang rujuk nya gak daftar manual,negative,1
aplikasi nya ribet obat aja suru online klu daftar lgs tangan bikin susah rakyat miskin iya klu yg pnyk hp yg pintar klu yg gak tau gimana biar bis obat pakai daftar jempol entar jkn lha bikin ribet rakyat miskin yg sakit obat,negative,1
barokallah,neutral,5
layan pandawa ubah faskes malam gak respon balas teman pagi balas coba gak balas,neutral,2
kalo daftar puskesmas online vermuk vermuknya susah bener orang sakit vermuk lumayan susah tolong gausah kasih daftar online kalo sekira vermuk susah aplikasi orang sakit lho tuh orang daftar cpns pinjam tolong vermuk nya hilang tolong baik aplikasi,negative,1
terimakasih udh bantu,positive,5
ok gass,positive,5
masuk aja ribet muncul tulis bikin aja,negative,3
daftar ribet nomor pqdahal blm daftar,negative,1
mudah cept bantu,positive,5
tolong baik birokrasi ambil online antri online penuh org sakit bebarapa rumah sakit klinik offline pikir orang butuh ugd,negative,1
gimana si error mulu heran kalo emang mudah tolong d upgrade biar g error mulu kalo error mudah nama,negative,1
mudah akses,positive,5
aplikasi ribeeeet lambat step langkah aplikasi akunharus log out login log out terkadang orang tua paham gadget device orang mau aplikasi biar simple mempersuliy,negative,1
aplikasi gak ambil antri aja susah ampun uang iur lancar aja ko sedot telat dikit kena suspend,negative,1
cicil barang kali ya ko lambat bayar kenda denda negeri ku cinta orang sakit kena denda,negative,1
log out dikit logout pdhl tugas rs cetak daftar aplikasi ngawur,negative,1
kali coba notifnya pin salah saha reset pin gak masuk alas pin salah,neutral,1
aplikasi,negative,1
tks laku ubah jkn mudah tks layan yg pd,positive,5
aplikasi bantu,positive,5
login aja moso daftar auto debit,negative,1
lot bgt,negative,1
puas banget mobile jkn rumah sakit tdk daftar sisa scan barcode sdh daftar online,positive,5
trimakasih bantu,positive,5
dah udah bener suruh verifikasi ulangitu kali kali daftar please dah capek mandang muka lu,negative,3
apk nya fungsi mohon baik daftar aja gak bosa,negative,1
guna mjkn mudah proses daftar fasilitas sehat cari nomor antre faskes khawatir antre proses cepat mudah sehat terima kasih mjkn,positive,5
gajelas kode verifikasi sampe jam ulang apk lot banget sumpah bikin jengkel doang pokok kesan gua buruk pake apk busuk minimal baik,negative,1
apk ribet karna lupa paswor gak buka nomor nik nmor bpjs nya ttep ga buka mending kalo layan lupa paswor tinggal pake masuk engga tetep pke paswot kiamat gak buka duh apk bikin darang derastis ngapain donlod mending hapus,negative,1
lelet,negative,1
error ni aplikasi,negative,1
buka jkn masuk ulang nik pasword capek deh,neutral,1
pulsa kode verifikasi kirim laku moga info manfaat teman,positive,3
muantap,positive,5
coba kali tetep gak masuk otp,negative,1
gak d daftar kn mnta verifikasi udah gimana ttap gak d daftar kecewa gimana pusing nya masuk pake barcode lbih enak dri pkai mobile jkn,negative,1
tiba logout buka eror ky gambar pecah tolong baik ya knp,neutral,1
ribet bangeettt yaampuuunn luncur luncur daftar ribet bangeett buang sia siaaaaa gara gara aplikasi,negative,1
aplikasi baru tampil bagus terkadang daftar layan sehat faskes lanjut deteksi surat kontrol,positive,3
ganti sandi bisakode verifikasi terkirimbagaimna tangan nya,negative,1
manfaat,positive,5
sistem nya tolol ga apk sulit servernya padat banyak mohon maaf ga,negative,1
bagus batu buka aplikasi nik,positive,5
banyak eror ngulang ngulang login mulu minggu tolong baik anggar ya pakai korupsi muli,negative,1
jkn okay,positive,5
mudah hemat waktutinggal klik antri good job,positive,5
apk gak,negative,1
apk buruk ga membantuotp ga kekirimsusahnya orang miskin woyyy,negative,1
